lat,long,surface,pop,municipality,prov
45400,8383,1358,4107,Varallo Pombia,NO
454133,83156,1022,1378,Veruno,NO
45213,8408,1784,2108,Vespolate,NO
452847,82742,1342,815,Vicolungo,NO
451926,8314,1555,607,Vinzaglio,NO
442835,65925,15194,238,Acceglio,CN
441854,71311,3687,309,Aisone,CN
44428,8214,5401,29382,Alba,CN
443554,8354,435,278,Albaretto della Torre,CN
44633,8023,758,118,Alto,CN
44244,65539,7652,97,Argentera,CN
44350,8632,504,186,Arguello,CN
441818,8239,3110,1043,Bagnasco,CN
444543,71849,6291,5123,Bagnolo Piemonte,CN
444540,7554,1502,1023,Baldissero d'Alba,CN
444340,8449,757,657,Barbaresco,CN
444336,71929,8235,7057,Barge,CN
443644,75632,559,672,Barolo,CN
442639,75341,1197,604,Bastia Mondovi',CN
441924,8029,1114,273,Battifollo,CN
442157,73848,1741,2656,Beinette,CN
443455,717,6219,234,Bellino,CN
442946,75827,496,358,Belvedere Langhe,CN
443251,7501,4895,3193,Bene Vagienna,CN
443751,8620,544,419,Benevello,CN
443258,8117,301,73,Bergolo,CN
44238,72622,2584,2554,Bernezzo,CN
443021,8059,723,127,Bonvicino,CN
443719,8752,845,343,Borgomale,CN
441955,72913,2225,10939,Borgo San Dalmazzo,CN
443617,8844,564,225,Bosia,CN
443146,8312,1435,674,Bossolasco,CN
441948,7331,5105,8827,Boves,CN
444155,75123,5962,27211,Bra,CN
442353,75232,622,263,Briaglia,CN
4452,7452,5351,81,Briga Alta,CN
44363,72431,991,330,Brondello,CN
443418,72144,2816,1177,Brossasco,CN
44312,72825,6577,8913,Busca,CN
442531,8830,2397,772,Camerana,CN
444151,81137,362,235,Camo,CN
444757,75929,1800,4965,Canale,CN
442726,755,4855,106,Canosio,CN
4470,75723,1104,171,Caprauna,CN
442510,72546,4153,5721,Caraglio,CN
444652,74429,2627,2406,Caramagna Piemonte,CN
444443,72848,1932,1068,Carde',CN
442851,75246,2601,3957,Carru',CN
442843,71717,651,177,Cartignano,CN
444919,73744,1768,1412,Casalgrasso,CN
444528,8156,709,1519,Castagnito,CN
443530,7419,3318,296,Casteldelfino,CN
443721,72622,378,241,Castellar,CN
442650,73823,1656,1072,Castelletto Stura,CN
442922,81155,1513,395,Castelletto Uzzone,CN
444633,8158,789,783,Castellinaldo,CN
442541,75852,1162,343,Castellino Tanaro,CN
442441,71249,4948,163,Castelmagno,CN
442118,8744,623,143,Castelnuovo di Ceva,CN
443731,75843,472,515,Castiglione Falletto,CN
444338,81128,1157,949,Castiglione Tinella,CN
443714,81053,1552,549,Castino,CN
444423,73957,1648,570,Cavallerleone,CN
444232,74123,5157,4542,Cavallermaggiore,CN
44290,71022,3126,147,Celle di Macra,CN
44309,7359,4275,5846,Centallo,CN
44483,74923,3705,1940,Ceresole Alba,CN
443431,8553,1013,383,Cerreto Langhe,CN
44237,7282,1828,3673,Cervasca,CN
443812,74738,1894,1682,Cervere,CN
442316,824,4296,5568,Ceva,CN
443920,75126,8120,6503,Cherasco,CN
441932,74035,9405,3389,Chiusa di Pesio,CN
442618,75537,597,197,Ciglie',CN
443347,8148,579,136,Cissone,CN
44298,75441,1715,941,Clavesana,CN
444415,75747,1027,1845,Corneliano d'Alba,CN
443453,81133,2473,2587,Cortemilia,CN
444012,81155,2083,1145,Cossano Belbo,CN
443359,72859,1525,3097,Costigliole Saluzzo,CN
443434,8734,818,441,Cravanzana,CN
444213,7918,4904,247,Crissolo,CN
442337,73249,11987,55794,Cuneo,CN
441858,71755,12728,2134,Demonte,CN
44398,8137,1775,2734,Diano d'Alba,CN
443149,75653,3585,4666,Dogliani,CN
44288,72155,5890,6969,Dronero,CN
443219,7532,2637,154,Elva,CN
441424,72347,15991,878,Entracque,CN
444056,72223,2507,1795,Envie,CN
443046,7550,1643,1735,Farigliano,CN
444823,7352,686,389,Faule,CN
443252,8646,741,459,Feisoglio,CN
44331,74324,13073,23436,Fossano,CN
441719,74831,4800,1038,Frabosa Soprana,CN
441813,74753,3763,1197,Frabosa Sottana,CN
443420,71643,1680,387,Frassino,CN
442012,72426,497,387,Gaiola,CN
443752,72053,578,311,Gambasca,CN
44120,8139,13122,4018,Garessio,CN
443522,73949,1374,2110,Genola,CN
443052,8813,1378,441,Gorzegno,CN
442742,8105,1348,201,Gottasecca,CN
444819,862,1880,1960,Govone,CN
443931,75858,368,1613,Grinzane Cavour,CN
444428,827,1339,2546,Guarene,CN
442640,8051,338,97,Igliano,CN
443518,72259,530,115,Isasca,CN
443737,73319,1776,1341,Lagnasco,CN
443818,75558,2434,2416,La Morra,CN
443630,8555,1188,586,Lequio Berria,CN
443342,7532,1208,629,Lequio Tanaro,CN
44247,75758,1438,787,Lesegno,CN
443226,8919,1544,344,Levice,CN
441213,73436,7123,1581,Limone Piemonte,CN
441828,75841,865,302,Lisio,CN
44302,71052,2450,81,Macra,CN
44467,846,953,1555,Magliano Alfieri,CN
442737,74756,3263,1974,Magliano Alpi,CN
444114,891,1993,1348,Mango,CN
44372,7296,1178,3243,Manta,CN
443949,74345,2898,2523,Marene,CN
442418,7414,1154,1228,Margarita,CN
442733,7546,4105,140,Marmora,CN
442716,75858,1301,357,Marsaglia,CN
443738,72158,1303,729,Martiniana Po,CN
443348,71910,2791,455,Melle,CN
441914,72322,1496,320,Moiola,CN
442811,854,2038,370,Mombarcaro,CN
44228,75811,1715,627,Mombasiglio,CN
442033,74917,1745,1107,Monastero di Vasco,CN
441947,75640,770,149,Monasterolo Casotto,CN
444118,73726,1506,1142,Monasterolo di Savigliano,CN
443418,75519,497,474,Monchiero,CN
442337,74922,8726,22155,Mondovi',CN
44285,8710,1283,853,Monesiglio,CN
44358,7583,2565,1968,Monforte d'Alba,CN
444855,75739,2670,4169,Monta',CN
441918,75151,2374,651,Montaldo di Mondovi',CN
444611,75543,1196,860,Montaldo Roero,CN
442750,73956,1110,669,Montanera,CN
443730,8242,639,428,Montelupo Albese,CN
442622,72231,1160,238,Montemale di Cuneo,CN
442433,71926,4223,559,Monterosso Grana,CN
444654,75558,2445,1565,Monteu Roero,CN
442253,8819,675,228,Montezemolo,CN
444313,75636,1013,1760,Monticello d'Alba,CN
444553,73220,2415,4017,Moretta,CN
442529,74226,2196,1860,Morozzo,CN
442832,8122,2774,882,Murazzano,CN
444512,7368,1720,946,Murello,CN
443545,75217,2638,3081,Narzole,CN
444340,8656,2120,2757,Neive,CN
444139,8658,806,428,Neviglie,CN
443054,8443,1150,457,Niella Belbo,CN
442455,75523,1557,990,Niella Tanaro,CN
443522,75537,1157,879,Novello,CN
442036,8346,764,461,Nucetto,CN
444037,71130,4752,129,Oncino,CN
4490,75445,12419,2284,Ormea,CN
444139,71127,1698,119,Ostana,CN
44416,71634,5808,3182,Paesana,CN
443642,72540,844,506,Pagno,CN
441640,75452,3509,543,Pamparato,CN
442559,8424,1255,249,Paroldo,CN
44367,81256,1055,337,Perletto,CN
44201,853,1156,164,Perlo,CN
441955,7378,6836,4897,Peveragno,CN
443229,81136,2746,403,Pezzolo Valle Uzzone,CN
442220,74230,1511,1695,Pianfei,CN
443415,72728,1056,2642,Piasco,CN
442038,7156,5451,132,Pietraporzio,CN
444412,75842,396,913,Piobesi d'Alba,CN
443058,75334,1425,956,Piozzo,CN
44439,75311,1739,2296,Pocapaglia,CN
444818,73556,1044,1267,Polonghera,CN
